2020-12-01 10:04:01,659-DEBUG-프로그램 디버그
2020-12-01 10:04:01,660-INFO-프로그램 인포
2020-12-01 10:04:01,660-WARNING-프로그램 워닝
2020-12-01 10:04:01,660-ERROR-에러가 발생했어요
2020-12-01 10:04:01,660-CRITICAL-심각한오류
2020-12-01 10:12:42,801-INFO-hap함수 호출
2020-12-01 10:12:42,801-INFO-hap함수 호출
2020-12-01 10:13:46,791-INFO-hap함수 호출
2020-12-01 10:13:46,791-INFO-hap함수 호출
2020-12-01 10:14:56,045-INFO-hap함수 호출
2020-12-01 10:15:19,889-INFO-hap함수 호출
2020-12-01 10:15:19,889-INFO-hap함수 호출
2020-12-01 10:16:24,004-CRITICAL-합이 1000을 넘었습니다45,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,004-CRITICAL-합이 1000을 넘었습니다46,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,004-CRITICAL-합이 1000을 넘었습니다47,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다48,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다49,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다50,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다51,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다52,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다53,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다54,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다55,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다56,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,005-CRITICAL-합이 1000을 넘었습니다57,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다58,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다59,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다60,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다61,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다62,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다63,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다64,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다65,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다66,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다67,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다68,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,006-CRITICAL-합이 1000을 넘었습니다69,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다70,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다71,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다72,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다73,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다74,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다75,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다76,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다77,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다78,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다79,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다80,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,007-CRITICAL-합이 1000을 넘었습니다81,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다82,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다83,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다84,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다85,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다86,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다87,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다88,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다89,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다90,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,008-CRITICAL-합이 1000을 넘었습니다91,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,009-CRITICAL-합이 1000을 넘었습니다92,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,009-CRITICAL-합이 1000을 넘었습니다93,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,009-CRITICAL-합이 1000을 넘었습니다94,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,009-CRITICAL-합이 1000을 넘었습니다95,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,009-CRITICAL-합이 1000을 넘었습니다96,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,009-CRITICAL-합이 1000을 넘었습니다97,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,009-CRITICAL-합이 1000을 넘었습니다98,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,009-CRITICAL-합이 1000을 넘었습니다99,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:24,009-CRITICAL-합이 1000을 넘었습니다100,<function hap at 0x00000007B2F2C1E0>
2020-12-01 10:16:46,334-CRITICAL-합이 1000을 넘었습니다45,1035
2020-12-01 10:16:46,334-CRITICAL-합이 1000을 넘었습니다46,1081
2020-12-01 10:16:46,334-CRITICAL-합이 1000을 넘었습니다47,1128
2020-12-01 10:16:46,334-CRITICAL-합이 1000을 넘었습니다48,1176
2020-12-01 10:16:46,334-CRITICAL-합이 1000을 넘었습니다49,1225
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다50,1275
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다51,1326
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다52,1378
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다53,1431
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다54,1485
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다55,1540
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다56,1596
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다57,1653
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다58,1711
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다59,1770
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다60,1830
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다61,1891
2020-12-01 10:16:46,335-CRITICAL-합이 1000을 넘었습니다62,1953
2020-12-01 10:16:46,336-CRITICAL-합이 1000을 넘었습니다63,2016
2020-12-01 10:16:46,336-CRITICAL-합이 1000을 넘었습니다64,2080
2020-12-01 10:16:46,336-CRITICAL-합이 1000을 넘었습니다65,2145
